Category_name,prodtype,#Website_link,Page_type,VMID,ID,Name,Short_description,Description,rxcode,first_paragraph,features,@image,sizes_dia,size_min,size_max,max_pressure,temp_min,temp_max,operation,connection,material,materialsu,sterilizable,shore_hardness,leak_resistance,flowrate_min,flowrate_max
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-10-sed-optical-position-indicator?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,446,2142,"SED - 024.10 Optical Position Indicator","Manual adjusted indicator",,"MIA ","Romynox delivers differents kind op indicator which gives an optical indication about the position of the valve. Type 024.10 is manual adjusted. ","Suitable for all SED valves RXBLLTGives an optical indication about the position of the valv RXBLLTcan be pneumaticly operated ",/product-images/sed_024_10_optical_position_indicator.jpg,"MA ",,,,,,Manual,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-11-sed-stroke-limiter?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,444,2145,"SED - 024.11 Stroke Limiter","For limitation of the opening of the valve",,"MIB ","Romynox delivers different kinds of stroke limiters of SED, which are used tot limit the opening of the valve. Type 024.11 is the most simple version, without an optcal position indicator."," used tot limit the opening of the valve RXBLLTSuitable for all SED diaphragm valves RXBLLTmanual/ pneumatic ",/product-images/sed_024_11_stroke_limiter.jpg,"MA 8 to MA 100",,,,,,Manual,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-11-2-sed-stroke-limiter?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,445,2148,"SED - 024.11.2 Stroke Limiter","With Hand wheel","Limitation of the stroke (opening level) with hand wheel.","MIR ","SED - 024.11.2 Stroke Limiter","manual  RXBLLTlimits the stroke (openings level) ",/product-images/sed_024_11_2_stroke_limiter_with_handwheel.jpg,"MA 10",1/4,3/4,,,,Manual,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-12-sed-stroke-limiter?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,442,2151,"SED - 024.12 Stroke limiter","With optical position indicator","Type 024.12 also gives optical feedback about the position of the valve. Optional with cap.","MID ","Limitation of the stroke (opening level) in combination.","gives optical feedback about the position of the valve RXBLLTis used to Limit the stroke (opening level)",/product-images/sed_024_12_optical_position_indicator.jpg,"MA 8 to MA 100",1/4,4,,,,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-13-sed-manual-override?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,443,2154,"SED - 024.13 Manual override with optical position indicator","with optical position indicator","This is a mechanical device that permits a person to operate the valve by hand. Type 024.13 of SED also gives optical feedback about the position of the valve. (open or closed)","MIE ","Manual Override is a method of manually opening a normally closed valve (power to open) without having power.","gives optical feedback about the position of the valve. (open or closed) RXBLLTpermits a person to operate the valve by hand",/product-images/sed_024_13_optical_position_indicator3.jpg,"MA 8 to MA 50",1/4,2,,,,Manual,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-14-sed-stroke-seal-adjuster?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,447,2157,"SED - 024.14 Stroke Limiter - seal adjuster","with manual override","Suitable for SED diaphragm valves 207, 307 and 407 up to DN 25","MIQ ","Optical indicator + stroke limiter + travel stop + manual override"," visuele indicator RXBLLTslagbegrenzer (zowel open als dicht) RXBLLThandbediening",/product-images/sed_024_14_stroke_seal_adjuster.jpg,"MA 8 to MA 25",1/8,1,,,,Actuator,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-16-7-sed-electropneumatic-positioner-ecocent?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,456,2163,"SED - 024.16.7 Electropneumatic positioner ecocent 4-20 mA","Mounting on the process control valves",,"MDA ","Electropneumatic Positioner ECOCENT for central mounting on the top of the process control valves.","Compact stainless steel, high performance plastic design RXBLLTContact- free continuous sensor measuring of the valve spindle position RXBLLTEasy start up RXBLLTPneumatic positioning for single acting actuators RXBLLTHigh air flow rate for type 024.16.720 RXBLLTClose tight function RXBLLT2 LEDs for visualisation RXBLLTSetpoint setting 4-20 mA",/product-images/sed_024_16_7_electropneumatic_positioner_ecocent.jpg,"MA ",1/4,4,,-10,+55,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-42-sed-manual-override-with-handwheel?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,450,2166,"SED - 024.42 Manual override with handwheel","Manual operation of NC or NO valves",,"MIF ","SED handwheel for manually opening of pneumatically operated Normally Closed (NC) valves or manually closing of pneumatically operated Normally Open (NO) valves.","manual  RXBLLTmanual opening of pneumatic ",/product-images/sed_024_42_optical_position_indicator.jpg,"MA 25 to MA 100",1/2,4,,,,Manual,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-50-sed-contact-free-limit-switch?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,439,2169,"SED - 024.50 Contact - Free Limit Switch for 2 & 3 valve positions","Remote controlled and 360º visible open/closed position","There are different versions of on/off limit switches in the market. The most common are based on the principle of mechanical switches, proximity sensors or potentiometers. SED has designed and engineered a contact-free limit switch with magnet field measurement technology, which makes it remotel controlled. Apart from lifetime and among other features the advanced design allows also a more reliable sealing method.","MIL ","Limit switches are used to control, monitor and view the position of the valve or to activate other system components.","For single and double-acting valve control functions RXBLLTIndicates two or three positions RXBLLTColored LED light feedback of valve position visible for 360° RXBLLTContact-Free magnetic measuring design RXBLLTSuitable for linear and rotary actuators RXBLLTLinear stroke measurement of 3-45 mm RXBLLTBacklash free stroke transmission RXBLLTShort circuit proof RXBLLTCompact and robust design RXBLLTHermetically sealed RXBLLTEasy mounting without additional adapter kits RXBLLT360° adjustable mounting position RXBLLTInitial programming by light or 24V Signal (5th pin) RXBLLTSet point protection RXBLLTHigh switching current RXBLLTHigh chemical resistance",/product-images/sed_limit_switch_024_50.jpg,"MA ",1/4,4,8,-10,+70,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-63-024-65-sed-control-head-switch?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,454,2172,"SED - 024.63-024.65 Control head switch with optical indicator","Control Head Switch Increase air flow rate 230 Nl/min","Depending on the version, the electrical control head provides signals for both open and closed positions of the valve and includes an integral solenoid valve for a direct air line connection to the actuator. Position feedback versions with electromechanical switch (type 024.63), inductive initiators Namur (type 024.64) or PNP (type 024.65) and AS-Interface (type 024.89).","MIG ","The SED electrical control head is an innovative development based on years of experience in manufacturing electrical accessories for process valves. ","Increased air flow rate 230 NI/min RXBLLTCircumferential catch the eye optical indicator representing the full stroke RXBLLTEase of assembly and may be assembled with the valve actuator in the field RXBLLTSelf adjusting RXBLLTTime saving electrical interface via pre-wired pin or a Bus-connection RXBLLTCompact design RXBLLTSuitable for mounting on linear valves RXBLLTDepending on the specification, LED-indication is available",/product-images/sed_control_head_024.89.jpg,"MA 8 to MA 100",,,,-10,+50,Actuator,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/electrical-position-indicator-024-85-sed?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,512,2758,"SED - 024.85 Electrical Position Indicator","Electromechanical limit switches",,"MIC ","The SED electrical positon indicator type 024.85 enables perfect control and signalization of the open/closed postitions of the valve.","The electrical position indicator has two mechanical microswitches RXBLLTThe corrosion resistant plastic unit is designed for actuator strokes up to 75mm RXBLLTThe position actuating spindle has a positive direct connection with the valve actuator without axial clearance RXBLLTThe electrical connection is via cable gland RXBLLTBoth microswitches can be continuously and precisely adjusted, independently of each other, via threaded spindles RXBLLT360° adjustable mounting position RXBLLTCustomer specified connectors available as an option RXBLLTSimple mounting and retrofitting to linear actuators RXBLLTMounting to other valve makes possible RXBLLTCompact design in a stable housing RXBLLTProtection class IP 65 to EN 60529",/product-images/sed_024_85_electrical_position_indicator01.jpg,"MA 10 to MA 100",1/4,4,,,,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/inductive-position-indicator-024-86-sed?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,513,2896,"SED - 024.86 Inductive Position Indicator","NAMUR 2-Wire","The signal is transmitted by two proximity switches. Switches stroke between both spools is linear, and enables an easy employ whenever signal must precisely be repeated. Main features of the indicator type 024.86 are also a total protection against current peaks, and a safe handling.   Optional ATEX-marking from the proximity switches: II 1G Ex ia IIC T6...T1 Ga II 1D Ex iaD 20T 108°C -20°C ? Ta ? +60°C  ","MIH ","The SED inductive position indicator type 024.86 enables a perfect control and indication of the open/closed positions of the valve.","The inductive position indicator is suitable for linear valves with actuator strokes up to 75mm (actuating travel) RXBLLTIt has a corrosion resistant plastic housing and one or two inductive proximity switches acc. to NAMUR EN 50227 RXBLLTThe electrical connection is via cable gland RXBLLTBoth proximity switches can be continuously and precisely adjusted, independently of each other, via threaded spindles RXBLLTDevice can be rotated through 360° RXBLLTSimple mounting and retrofitting to linear actuators RXBLLTCompact design in a stable housing RXBLLTThe switches are not subject to wear, contactless detection RXBLLTProtection class IP 65 to EN 60529",/product-images/sed_024_86_inductive_position_indicator01.jpg,"MA ",,,,,,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/inductive-position-indicator-024-87?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,514,2901,"SED - 024.87 Inductive Position Indicator","PNP 3-Wire","It has a corrosion resistant plastic housing and is designed for actuator strokes upto 75mm. It has one or two inductive proximity switches with integrated LED indication. The position indicator spindle has a positive direct connection with the valve actuator without axial clearance. The electrical connection is via PG 13.5 cable gland.    ","MIJ ","The SED inductive position indicator type 024.87 can be used for pneumatically operated linear actuators.","Inductive proximity switch with LED indication (depending on version) RXBLLTBoth proximity switches can be continuously and precisely adjusted, independently of each other, via threaded spindles RXBLLTIndicator can be rotated through 360° RXBLLTCustomer-specified connectors available as an option RXBLLTSimple mounting RXBLLTElectrical position indicator can be mounted independently from each other RXBLLTCompact design in a stable housing RXBLLTThe switches are not subject to wear, contactless detection RXBLLTProtection class IP 65 to EN 60529",/product-images/sed_024_87_inductive_position_indicator01.jpg,"MA ",,,,,,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-886-sed-travel-stop?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,448,2175,"SED - 024.886 Travel Stop","Travel stop for valves",,"MIO ","Limitation of the travel (closing level) of the valve.","manual/ pneumatic",/product-images/sed_024_886_travelstop.jpg,"MA 8 to MA 100",,,,,,"Actuator, Manual",,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-90-sed-limit-switch-open-position?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,452,2178,"SED - 024.90 Limit switch, open position","Mechanical Switch and Optical Indicator","The mechanism is based on an electric micro switch. In the open position, the micro switch is activated. The position of the switch is always visible through the transparent casing. The electrical connection goes via an ap-6.9 connection cable to the micro switch.","MIK ","SED accessories With the SED type 024.90 electrical position indicator, an open or closed can be indicated.","The position of the switch is always visible through the clear cover RXBLLTAdditional visual indication of the signal from a red cam via the transparent section of the indicator RXBLLTThe cable connector is adjustable through 360° RXBLLTThe housing can be rotated through 360° RXBLLTThe protection class is IP 65",/product-images/sed_024_90_limit_switch.jpg,"MA ",1/8,4,,,,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-98-sed-optical-indicator?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,449,2181,"SED - 024.98 Optical Indicator","With Travel stop",,"MIP ","Limitation of the travel (closing level) of the valve.",pneumatic ,/product-images/sed_024_98-02_catch_the_eye.jpg,"MA 8 to MA 50",,,,,,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/024-995-sed-lockable-handwheel?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,451,2184,"SED - 024.995 Lockable Handwheel","Suitable for type KMA 995","Optional with U-lock. to prefend unwanted opening and closing","MIN ","Locking of manually operated valves op type KMA 995 from SED.","prefends unwanted opening and closing",/product-images/sed_024_995_lockable_handwheel.jpg,"MA 80 to MA 100","2 1/2",4,,,,Manual,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/type-600-605-sed-solenoid-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,473,3973,"SED - Type 600/605 - Solenoid Valve","3/2 way plastic solenoid valve for single mounting","Type 600 is equipped with a hollow screw and made for direct mounting to the pneumatic valve actuator.Type 605 is designed for manifold mounting, where a variable amount of single pilot valves are assembled together and connected to the pneumatically operated valve actuators by pneumatic lines. Direct solenoid actuated poppet valve, normally closed and normally opend, direct and manifold mounting. Solenoid valve for filtered, lubricated or non lubricated air, neutral gasesous and liquid fluids. Productcodes:Type 600: MOAType 605: MOD Size: 1,6 mm Pressure: 0-10 bar Temperature: -10 to +60 C Connection: thread Current draw: 5W (6VA) OPTIONS Optional ATEX 2129 X II 2G EEx m II T4","MOA-MOD ","Solenoid valves are electromagnetically, directly operated and suitable for piloting pneumatic valve actuators. For this purpose media such as filtered, lubricated or oil-free compressed air and inert, gaseous fluids can be used.","Compact design RXBLLTInterchangeable solenoid system RXBLLTPlastic overmolded solenoid RXBLLTSuited for coarse vacuum RXBLLTExhuast port provided with silencer RXBLLTStandard manual override RXBLLTCurrent draw 5 W",/product-images/sed_pilot_valve_600_605.jpg,"MA ",,,10,-10,60,,,,,,,,,
"Diaphragm valves > Signaling & control",SS,https://romynox.nl/ski-i-sisto-actual-position-feedback-unit?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,166,3617,"SISTO - SK-i LED Intelligent Actual-Position Feedback Unit","Position feedback unit for linear valves","Valve position is indicated visually and clearly with use cloured LEDs. User-friendly setting of limit positions by automatic initialisation on site or via the process control system.  SISTO-SK-i continuously records valve travel and comprises a microcontroller-based analysing unit. Valve position is signalled optically by the device LEDs and electrically via digital outputs. SISTO-SK-i is connected via an M12 plug connector and is ready for operation as soon as initialisation is complete.  Options Integrated 3/2-way solenoid valve  Stainless steel housing (1.4404) Connections via AS interface  ","MSI ","SISTO-SK-i is a smart actual-position feedback unit for valves with linear actuators.","<span class=""Y2IQFc"" lang=""en"">plastic or stainless steel housing (1.4404)</span> RXBLLT<span class=""Y2IQFc"" lang=""en"">Signal for open-close position</span> RXBLLT<span class=""Y2IQFc"" lang=""en"">Suitable for linear valves with a stroke of 5 to 46 mm </span> RXBLLT<span class=""Y2IQFc"" lang=""en"">Option for 4-LED feedback </span> RXBLLT<span class=""Y2IQFc"" lang=""en"">24V power supply </span> RXBLLT<span class=""Y2IQFc"" lang=""en"">Compact design </span> RXBLLT<span class=""Y2IQFc"" lang=""en"">Continuous position registration by means of micro rangefinder </span> RXBLLT<span class=""Y2IQFc"" lang=""en"">Self-adjusting between the stroke of 5 to 46 mm </span> RXBLLT<span class=""Y2IQFc"" lang=""en"">Easy to set with push buttons</span> RXBLLTdigitale output  ",/product-images/SISTO-SK-i-LED-intelligent-feedback-unit.png,"MA ",,,,-30,60,,,,,,,,,
"Diaphragm valves > SISTO Diaphragm valves",SS,https://romynox.nl/sisto-c-clean?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,19,3593,"SISTO - C Diaphragm valve","A stainless steel diaphragm valve for the pharmaceutical industry","The stainless steel diaphragm valves of the SISTO-C series come with a handwheel (code MCC) or stainless steel actuator (code MCE). They are used in several high purity applications in the pharmaceutical, food, fine chemical and cosmeticindustries. A SISTO-C valve made entirely out of stainless steel is very suitable for use in clean rooms or in aggressive (corrosive) environments. The enclosed membrane design and the compressionspring provide an unique way of sealing. The SISTO-C is suitable for a maximum of 16 bar (test pressure 30 bar) and guarantees a long lifespan of the diaphragm.","MCC - MCG  ","The only diaphragm valve for process with a max pressure of 16 bar.","Unique design with enclosed diaphragm RXBLLTSuitable for applications up to a line pressureof 16 bar RXBLLTSelf-draining, No dead volume RXBLLTNo contamination of fluid handled RXBLLTSuitable for CIP/SIP",/product-images/SISTO-C-actuator.jpg,"MA 115 to MA 30",1/4,4,16,20,150,Manual,"Butt Weld, Flange","Plastic PA6GF30, 316 (1.4409), 316L (1.4435)",,,,,,
"Diaphragm valves > SISTO Diaphragm valves",SS,,1,1337,,"SISTO - C DIAPHRAGM VALVE Pneumatic","A stainless steel diaphragm valve for the pharmaceutical industry","The stainless steel diaphragm valves of the SISTO-C series come with a stainless steel actuator (code MCE). They are used in several high purity applications in the pharmaceutical, food, fine chemical and cosmeticindustries. A SISTO-C valve made entirely out of stainless steel is very suitable for use in clean rooms or in aggressive (corrosive) environments. The enclosed membrane design and the compressionspring provide an unique way of sealing. The SISTO-C is suitable for a maximum of 16 bar (test pressure 30 bar) and guarantees a long lifespan of the diaphragm.","MCE ","The only diaphragm valve for process with a max pressure of 16 bar.","Piston actuator RXBLLTValve bonnet in compact design, actuator housing and valve bonnet manufactured from one part RXBLLTStainless steel stem RXBLLTClearly visible red position indicator RXBLLTStainless steel compressor RXBLLTDiaphragm suspension with floating nut RXBLLTSpring chamber venting by operating hole RXBLLTSpring to close ? air to open RXBLLTSpiral spring support for sizes MD65 and larger",/product-images/,"MA 115 to MA 30",1/4,4,16,20,150,Actuator,"Butt Weld, Tri-Clamp","Plastic PA6GF30, 316 (1.4409), 316L (1.4435)",,,,,,
"Diaphragm valves > SISTO Diaphragm valves",SS,https://romynox.nl/sisto-ct-zdl-valves?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,559,3614,"SISTO - CT ZDL complete diaphragm Valves","Zero Dead Leg Valve","The SISTO-CT valve with zero dead leg is perfect for high purity applications in the pharmaceutical, food, fine chemical and cosmetic industries. The SISTO-CT diaphragm valves are usually used as a point of use in a WFI loop system. It can also be used as a drain point in other systems. The operation can be manual or pneumatic actuator.","MST ","For high purity applications.","Design allowing the installation of an enclosed diaphragm RXBLLTOptimised hydraulic design RXBLLTNo dead volume RXBLLTWeld ends or clamps in accordance with different standards",/product-images/SISTO-ZDL-actuator-1.jpg,"MA ",1/3,8,16,20,150,"Actuator, Manual","Butt Weld, Tri-Clamp","Plastic PA6GF30, 316 (1.4409), 316L (1.4435)",,,,,,
Filters,SS,https://romynox.nl/rubber-fab-fluid-filtration-screen-seals?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,601,3438,"Rubber Fab - Fluid Filtration Gaskets - Screen Seals","Screen Gaskets for particulate elimination to protect fill and finish sterile products (Type 1 - Unlipped)","Fluid filtration screen gaskets provide the most comprehensive range of stainless steel mesh and filter cloth which provide for particulate elimination to protect fill and finish sterile products. They are interchangeable with standard sanitary clamp gaskets.","WRK ","Fluid filtration screen gaskets provide the most comprehensive range of stainless steel mesh and filter cloth.","stainless steel  RXBLLT10 Micro through 4 mesh",/product-images/RF.screens_4f184f318f136.jpg,,1/2,6,,,,,Tri-Clamp,"EPDM, PTFE, FKM, Platinum Cured Silicone, 316L (1.4404), C22 (2.4602)",,,,,,
Filters,SS,https://romynox.nl/rubber-fab-fluid-filtration-screen-socks?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,602,3441,"Rubber Fab - Fluid Filtration Sock Screen","Sock designs provides filtration for a greater soil retention","The extended sock shaped mesh gasket offers up to 5 times more open area for 5 times more soil collection capability than conventional screens. They provide greater flow for situations where a large amount of particulates are involved. Due to the large capacity and open screen area, sock screens require less service therefore reducing down time and costly change outs, a major consideration with in-line pharmaceutical processing. While protecting expensive processing pumps and equipment from foreign matter, sock screens are especially effective in decreasing pump wear and burnout while increasing energy conservation. Regularly used in the transfer of liquids from a bulk tank to a tank truck and/or in the opposite direction, sanitary sock screens are specifically designed for high volume applications with low pressure drop. Options Electropolishing available","WAK ","Filtration Screen Socks with a robust, sturdy design for a longer life. They are constructed of 316L stainless steel and the base is impulse welded to your selected mesh for a tighter seal and easier replacement of the gasket.","decreases pump wear  RXBLLT5 times more open area for 5 times more soil collection capability than conventional screens RXBLLTgreater flow for situations RXBLLTrequire less service RXBLLTreducing down time ",/product-images/rf_fluid_filteration_sock_screens.jpg,,1/2,4,,,,,,"EPDM, FKM, Platinum Cured Silicone, 316L (1.4404)",,,,,,
Filters,SS,https://romynox.nl/rubber-fab-v2b-gasket?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,621,3481,"Rubber Fab - Vent and Vacuum Breaker Gasket (V2B)","The Vent and Vacuum Breaker Gasket","The Vent and Vacuum Breaker GasketThe V2B System is attached/connected using a standard sanitary Tri-Clamp® to a sanitary tank port, the same way a standard vacuum breaker in installed. Installation can be horizontal, vertical or in single or multiple port configurations (i.e. manifolds) without special fabrication or expensive tooling. The V2B screen will fit perfectly into the ID of a sanitary pipe and can be used for inflow fluid conditioning filtration. Providing Air Flow Without ContaminationA key benefit of the V2B Gasket is its prevention from most atmospheric and environmental contamination customarily found with other venting systems. Because the V2B Gasket can provide unrestricted air flow with ultra fine filtration, you can feel secure in knowing the hygienic condition of the tank contents remain protected. With regular cleaning and maintenance, the V2B Gasket is a cost effective, and incredibly simple way to provide contaminate free air flow to any tank system.","WBC ","V2B Gaskets offer an additional solution for vacuum and pressure relief for pharmaceutical, food and beverage processing tank venting when airborne particulate removal is required. Using a 200 mesh screen combined with a 14 mesh screen of sintered construction, Rubber Fab has created a cost effective alternative to expensive vacuum breakers and venting systems.","cost effective RXBLLTEasy to maintain RXBLLTEasy to install RXBLLTworks as both a vacuum<br />breaker and venting system",/product-images/rf_v2b_vent_breaker_system.jpg,,1/2,4,,,,,Tri-Clamp,"EPDM, FKM, Platinum Cured Silicone, 316L (1.4404)",,,,,,
Fittings,SS,https://romynox.nl/lateral-tee-c-x-c-x-c?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,764,19586,"Lateral Y C x C x C*","Stainless Steel Equal Lateral Tee Clamp",,"FCB ",,,"/product-images/Equal Lateral Tee Clamp.jpg",,,,,,,,,,,,,,,
Fittings,SS,https://romynox.nl/lateral-tee-w-x-w-x-w?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,763,19591,"Lateral Y W x W x W*","Weld Equal Lateral Tee",,"FCA ",,,"/product-images/Equal Laterial Tee Weld.jpg",,,,,,,,,,,,,,,
"Fittings > Adaptors",SS,,3,1410,,"Tri-Clamp to Camlock","Available in 316L Stainless Steel.",,"FCD ","Tri-Clamp to Camlock pipe adaptor is available in 316L stainless steel alloy. Ranging in sizes from 1/2 inch all the way to 4 inches.",,/product-images/,,,,,,,,,,,,,,,
"Fittings > Adaptors",SS,,3,1412,,"Tri-Clamp to DIN 11851","Tri-Clamp to DIN 11851 milk coupling adaptor",,"F0V ","Tri-Clamp to DIN 11851 milk coupling adaptor",,/product-images/,,,,,,,,,,,,,,,
"Fittings > Adaptors",SS,,3,1411,,"Tri-Clamp to EN 1092-1","Tri-Clamp to EN 1092-1",,"FCF ",,,/product-images/,,,,,,,,,,,,,,,
"Fittings > Adaptors",SS,,3,1413,,"Tri-Clamp to LUER","Tri-Clamp to LUER",," ","Tri-Clamp to LUER",,/product-images/,,,,,,,,,,,,,,,
"Fittings > ASME BPE",SS,https://romynox.nl/dt-1-stainless-steel-tubes?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,562,2655,"DT1 Stainless Steel Tubes","ASME BPE DT-4.1","These stainless steel tubes are manufactured from solid 1.4404 (316L) bar stock. This offers both excellent material properties and guarantees good controllable surface finishes. These stainless-steel tubes are available in ASME BPE sizes 1/2"" to 6"" with a maximum length of 6.1 meters and have a standard SF1 surface finish, SF4 surface finish available on request. Certificates 3.1 material, optional 2.2 surface finish","FD1 ","1.4404 (316L) tubes available in different sizes and lengths.","stainless steel RXBLLTcontrollable surface finishes",/product-images/tube_dt-1.jpg,,1/4,6,,,,,"Butt Weld","316L (1.4404)",,,,,,
"Fittings > ASME BPE",SS,https://romynox.nl/dt-10-reducing-tee-w-x-w-x-w?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,331,2658,"DT10 - Reducing Tee W x W x W","ASME BPE DT-4.1.2-6","look at the datasheet for all seizes possible These stainless steel tubes are manufactured from solid 1.4404 (316L) bar stock. This offers both excellent material properties and guarantees good controllable surface finishes. These stainless-steel tubes are available in ASME BPE sizes 3/4"" to 6"" and have a standard SF1 surface finish, SF4 surface finish available on request.   Certificates 3.1 material, optional 2.2 surface finish","FDB ","This Reducing Tee has equal length on all sides and all sides have a weld connection, one of the sides is reduced","stainless steel RXBLLTgood controllable surface finishes",/product-images/reducing_tee_www.jpg,,1/4,6,,,,,"Butt Weld","316L (1.4404)",,,,,,
"Fittings > ASME BPE",SS,https://romynox.nl/dt-11c-concentric-reducer-w-x-w?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,335,2661,"DT11c - Concentric Reducer W x W","ASME BPE DT-4.1.3-1","These stainless steel tubes are manufactured from solid 1.4404 (316L) bar stock. This offers both excellent material properties and guarantees good controllable surface finishes. These stainless-steel tubes are available in ASME BPE sizes 3/8"" to 6"" and have a standard SF1 surface finish, SF4 surface finish available on request.  Certificates 3.1 material, optional 2.2 surface finish   Availability (SF1)","FDC ","The Concentric Reduced tube has a weld connection on both sides.","stainless steel RXBLLTgood controllable surface finishes","/product-images/FDC_ASME-BPE DT-11c_web.jpg",,3/8,6,,,,,"Butt Weld","316L (1.4404)",,,,,,
"Fittings > ASME BPE",SS,https://romynox.nl/dt-11e-eccentric-reducer-w-x-w?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,336,2664,"DT11e - Eccentric Reducer W x W","ASME BPE DT-4.1.3-1","These stainless steel tubes are manufactured from solid 1.4404 (316L) bar stock. This offers both excellent material properties and guarantees good controllable surface finishes. These stainless-steel tubes are available in ASME BPE sizes 3/8"" to 6"" and have a standard SF1 surface finish, SF4 surface finish available on request.  Certificates 3.1 material, optional 2.2 surface finish ","FDD ","The Eccentric Reducer has a weld connection on both sides. ","stainless steel RXBLLTgood controllable surface finishes","/product-images/FDD_ASME-BPE DT-11e_web.jpg",,3/8,6,,,,,"Butt Weld","316L (1.4404)",,,,,,
"Fittings > ASME BPE",SS,https://romynox.nl/dt-12-elbow-90-w-x-c?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,306,2667,"DT12 - Elbow 90° W x C","ASME BPE DT-4.1.1-2","These stainless steel tubes are manufactured from solid 1.4404 (316L). This offers both excellent material properties and guarantees good controllable surface finishes. These stainless-steel tubes are available in ASME BPE sizes 1/2"" to 6"" and have a standard SF1 surface finish, SF4 surface finish available on request.   Certificates 3.1 material, optional 2.2 surface finish","FDE ","This 90-deg elbow stainless steel tube has a tri-clamp connection on one side and a weld connection on the other. ","stainless steel 1.4404 (316L) RXBLLTgood controllable surface finishes",/product-images/romynox_bpe_fitting_dt-12_dt-4112_90_deg_elbow_wc.jpg,,1/2,6,,,,,"Butt Weld, Tri-Clamp","316L (1.4404)",,,,,,
